addr,code
1.212.80.0,KR
1.45.28.0,CN
1.55.119.0,VN
1.93.26.0,CN
1.93.29.0,CN
1.93.30.0,CN
1.93.32.0,CN
1.93.34.0,CN
101.226.241.0,CN
101.227.170.0,CN
101.76.160.0,CN
103.13.122.0,MY
103.23.103.0,ID
103.23.244.0,ID
103.25.4.0,IN
103.253.141.0,HK
103.31.80.0,PK
103.9.91.0,MN
106.120.103.0,CN
106.3.63.0,CN
108.174.62.229,US
109.172.53.0,RU
109.191.85.0,RU
110.164.158.0,TH
110.172.141.0,IN
110.172.52.0,IN
110.77.141.0,TH
110.77.161.0,TH
111.119.235.0,IN
111.205.154.0,CN
111.221.0.0,BD
111.240.183.0,TW
111.58.47.0,CN
111.74.134.0,CN
112.137.0.0,BD
112.206.228.0,PH
112.65.244.0,CN
112.78.3.0,VN
112.90.37.0,CN
113.106.1.0,CN
113.108.211.0,CN
113.16.141.0,CN
113.167.94.0,VN
113.169.65.0,VN
113.184.253.0,VN
113.190.75.0,VN
113.195.5.0,CN
113.247.225.0,CN
113.28.246.0,HK
114.112.91.0,CN
114.113.236.0,CN
114.134.189.0,KH
114.207.135.0,KR
114.32.227.0,TW
114.34.180.0,TW
114.34.6.0,TW
114.80.202.0,CN
114.80.224.0,CN
114.80.246.0,CN
115.168.43.0,CN
115.236.20.0,CN
115.236.79.0,CN
115.238.73.0,CN
115.239.0.0,CN
115.245.103.0,IN
115.252.222.0,IN
115.42.212.0,SG
115.68.22.0,KR
116.10.189.0,CN
116.10.191.0,CN
116.10.196.0,CN
116.118.158.0,TW
116.193.163.0,IN
116.204.96.0,CN
116.213.79.0,CN
116.228.184.0,CN
116.228.50.0,CN
116.252.20.0,CN
116.50.253.0,PH
116.55.226.0,CN
117.21.127.0,CN
117.21.191.0,CN
117.21.226.0,CN
117.27.158.0,CN
117.41.187.0,CN
117.78.0.0,CN
117.79.148.0,CN
117.79.91.0,CN
118.102.181.0,IN
118.122.120.0,CN
118.142.78.0,HK
118.174.151.0,TH
118.194.212.0,CN
118.213.88.0,CN
118.218.197.0,KR
119.10.116.0,CN
119.110.110.0,MY
119.147.137.0,CN
119.254.7.0,CN
119.57.21.0,CN
119.97.218.0,CN
120.141.179.0,MY
120.192.167.0,CN
120.28.127.0,PH
121.196.0.0,CN
121.22.0.0,CN
121.37.60.0,CN
122.192.35.0,CN
122.224.11.0,CN
122.224.50.0,CN
123.125.219.0,CN
123.125.8.0,CN
123.129.216.0,CN
123.150.106.0,CN
123.194.224.0,TW
123.201.130.0,IN
123.24.111.0,VN
123.30.180.0,VN
123.49.35.0,BD
124.117.249.0,CN
124.120.177.0,TH
124.120.221.0,TH
124.121.146.0,TH
124.124.13.0,IN
124.124.16.0,IN
124.160.12.0,CN
124.160.194.0,CN
124.163.223.0,CN
124.172.232.0,CN
124.193.109.0,CN
124.205.183.0,CN
124.232.135.0,CN
125.140.114.0,KR
125.211.221.0,CN
128.71.42.0,RU
137.189.148.0,HK
14.139.229.0,IN
14.23.155.0,CN
144.16.111.0,IN
146.185.168.0,NL
146.185.246.0,RU
146.185.31.0,GB
146.228.112.0,CH
148.245.17.0,MX
149.154.65.0,RU
149.210.164.0,NL
150.101.217.0,AU
159.226.94.0,CN
159.253.41.0,TR
163.125.167.0,CN
163.125.216.0,CN
163.21.100.0,TW
164.100.131.0,IN
171.101.135.0,TH
171.5.250.0,TH
174.120.251.0,US
175.194.217.0,KR
175.44.10.0,CN
175.99.95.0,TW
176.222.255.0,RU
176.52.76.0,RU
176.97.153.0,GB
177.135.91.0,BR
177.159.117.0,BR
177.226.138.0,MX
177.230.0.0,MX
177.230.90.0,MX
177.32.150.0,BR
178.137.93.0,UA
178.216.49.0,SE
178.216.50.0,SE
178.76.206.0,RU
